MessageProcessed,Tags
entendi . . . mas pelo contato não consegui,VERB PON PON PON CONJ PREP SUBS ADV VERB
tenho a máquina mas não recebi o e-mail com minha conta do aplicativo,VERB ART SUBS CONJ ADV VERB ART SUBS PREP PRON VERB PREP SUBS
gostaria de mais informações sobre a promoção compre CODE e ganhe outro aparelho,VERB PREP ADV SUBS PREP ART SUBS VERB SUBS CONJ VERB PRON SUBS
os NUMBER não tenho mais,ART NUM ADV VERB ADV
vou verificar de novo .,VERB VERB PREP ADJ PON
olá me cadastrei no prezão NUMBER,INT PRON VERB PREP SUBS NUM
esse número de protocolo ? ? ?,PRON SUBS PREP SUBS PON PON PON
não . não estou fazendo é ligação,ADV PON ADV VERB VERB VERB SUBS
porque não pode com bobina ?,CONJ ADV VERB PREP SUBS PON
qual a promoção da loja,INT ART SUBS PREP SUBS
linha NUMBER PHONE cpf CPF,SUBS NUM SUBS SUBS SUBS
estou precisando abaixar o valor da minha parcela,VERB VERB VERB ART SUBS PREP PRON SUBS
eu estou sem sinal desde ontem as TIME,PRON VERB PREP SUBS PREP ADV ART SUBS
eles não me ligam porque ?,PRON ADV PRON VERB CONJ PON
já . enviei o endereço . novo,ADV PON VERB ART SUBS PON ADJ
não estou conseguindo ser atendido pelo número NUMBER,ADV VERB VERB VERB VERB PREP SUBS NUM
apenas quero o telefone fixo . é possível ?,ADV VERB ART SUBS ADJ PON VERB ADJ PON
gostaria de registrar de novo o ocorrido,VERB PREP VERB PREP ADJ ART VERB
"telefone ocupado , tem outro ?",SUBS ADJ PON VERB PRON PON
e consegui abri a solicitação,CONJ VERB VERB ART SUBS
de novo e número NUMBER,PREP ADJ CONJ SUBS NUM
não tem a opção de cadastrar uma nova conta,ADV VERB ART SUBS PREP VERB ART ADJ VERB
estou tentando falar nos dois telefones desde TIME sem sucesso,VERB VERB VERB PREP NUM SUBS PREP SUBS PREP SUBS
esse é o código de barras ?,PRON VERB ART SUBS PREP SUBS PON
está demorando aprovar o pagamento,VERB VERB VERB ART SUBS
qual é o tempo ativa,INT VERB ART SUBS ADJ
em qual modalidade é o recebimento em NUMBER dias ?,PREP INT SUBS VERB ART SUBS PREP NUM SUBS PON
"passei um cartão no valor de NUMBER no mês de julho e não está disponível pra me transferir pra minha conta ,",VERB ART SUBS PREP SUBS PREP NUM PREP SUBS PREP SUBS CONJ ADV VERB ADJ PREP PRON VERB PREP PRON VERB PON
"estou tentando logar ele diz senha incorreta , ai tento recuperar a senha , no email ele não consta senha",VERB VERB VERB PRON VERB SUBS ADJ PON INT VERB VERB ART SUBS PON PREP SUBS PRON ADV VERB SUBS
"à horas , eu consigo e o sistema de vocês cai",PREP SUBS PON PRON VERB CONJ ART SUBS PREP PRON VERB
"minha máquina não está passando o cartão , está com algum problema na rede ?",PRON SUBS ADV VERB VERB ART SUBS PON VERB PREP PRON SUBS PREP SUBS PON
"não funciona , obrigada .",ADV VERB PON ADJ PON
porque pra esse pagamento não dá mais . . .,CONJ PREP PRON SUBS ADV VERB ADV PON PON PON
criar o link dos produtos,VERB ART SUBS PREP SUBS
fiz o pedido no dia NUMBER de junho,VERB ART SUBS PREP SUBS NUM PREP SUBS
queria o boleto da NUMBER,VERB ART SUBS PREP NUM
meu pedido deu ausente duas vezes,PRON SUBS VERB ADJ NUM SUBS
eu quero trocar algumas informações do meu contrato .,PRON VERB VERB PRON SUBS PREP PRON SUBS PON
a portabilidade e voltava com meu número,ART SUBS CONJ VERB PREP PRON SUBS
qual o número de protocolo dele ?,INT ART SUBS PREP SUBS PREP PON
"comprei um produto e queria trocar por outro , comprei ontem pela manhã !",VERB ART SUBS CONJ VERB VERB PREP PRON PON VERB ADV PREP SUBS PON
"não estou afim , amanhã vou na loja física",ADV VERB PREP PON ADV VERB PREP SUBS ADJ
eu gostaria do boleto atualizado .,PRON VERB PREP SUBS VERB PON
mês de agosto vendi NUMBER,SUBS PREP SUBS VERB NUM
estou tentando simular e não estou conseguindo,VERB VERB VERB CONJ ADV VERB VERB
mas o pedido PHONE eu não tive nenhuma informação,CONJ ART SUBS SUBS PRON ADV VERB PRON SUBS
gostaria de retirar o produto !,VERB PREP SUBS ART SUBS PON
porque não consigo fazer um empréstimo santander ? ?,CONJ ADV VERB VERB ART SUBS SUBS PON PON
já resolvi . . . retorno dia a ligar dia NUMBER,ADV VERB PON PON PON VERB SUBS ART VERB SUBS NUM
"pronto , vou pagar e já envio",ADJ PON VERB VERB CONJ ADV VERB
e a resposta do meu serviço ?,CONJ ART SUBS PREP PRON SUBS PON
fiz em NUMBER e não está passando,VERB PREP NUM CONJ ADV VERB VERB
sandro de freitas silva NUMBER NUMBER NUMBER NUMBER,SUBS PREP SUBS SUBS NUM NUM NUM NUM
e-mail encaminhado e agora ?,SUBS VERB CONJ ADV PON
não vou esperar pelos MEASURE,ADV VERB VERB PREP SUBS
"posição sinistro , prazo expirado",SUBS ADJ PON SUBS VERB
"desculpe , esqueci o outro atendente",INT PON VERB ART PRON SUBS
gentileza corrigir nome da razao social,SUBS VERB SUBS PREP SUBS ADJ
"sim , estou tentando pelo site",INT PON VERB VERB PREP SUBS
e me passaram NUMBER dias uteis,CONJ PRON VERB NUM SUBS ADJ
NUMBER é o início do cnpj,NUM VERB ART SUBS PREP SUBS
esse não finaliza a negociação .,PRON ADV VERB ART SUBS PON
na hora de tirar o cupom,PREP SUBS PREP VERB ART SUBS
pode deixar o dia DATE,VERB VERB ART SUBS SUBS
cpf CPF me veja a margem nova dela,SUBS SUBS PRON VERB ART SUBS ADJ PREP
"email eu tenho , o token não",SUBS PRON VERB PON ART SUBS ADV
tenha um bom dia . :,VERB ART ADJ SUBS PON PON
consegue confirmar inscrição ? NUMBER,VERB SUBS SUBS PON NUM
o cliente pode sacar o dinheiro ?,ART SUBS VERB VERB ART SUBS PON
porque não entrou taxa NUMBER na minha maquininha ?,CONJ ADV VERB SUBS NUM PREP PRON SUBS PON
conversar com maquina não dá .,VERB PREP SUBS ADV VERB PON
pra cancelar uma longa ?,PREP VERB ART ADJ PON
bom dia . . . estou tentando passar o cartão de uma cliente e vocês já cancelaram por MEASURE,ADJ SUBS PON PON PON VERB VERB VERB ART SUBS PREP ART SUBS CONJ PRON ADV VERB PREP SUBS
e o cartão NUMBER não aparece pra mim,CONJ ART SUBS NUM ADV VERB PREP PRON
não consigo validar a conta,ADV VERB VERB ART VERB
bom dia . estou sem sinal na minha moderninha,ADJ SUBS PON VERB PREP SUBS PREP PRON SUBS
"em parcelamento , quero editar uma promoção salva .",PREP SUBS PON VERB SUBS ART SUBS ADJ PON
"mas não estou com ele em mao , esqueci em casa",CONJ ADV VERB PREP PRON PREP SUBS PON VERB PREP VERB
dia DATE valor de MONEY,SUBS SUBS SUBS PREP SUBS
sabe me dizer porque veio esse valor absurdo ?,VERB PRON VERB CONJ VERB PRON SUBS ADJ PON
eu consigo alterar a data de vencimento ?,PRON VERB VERB ART SUBS PREP SUBS PON
é em pagamentos ou transferências ?,VERB PREP SUBS CONJ SUBS PON
meus nomes andrea de fatima da silva henrique,PRON SUBS SUBS PREP SUBS PREP SUBS SUBS
"NUMBER , com certeza , lorena",NUM PON PREP SUBS PON SUBS
esse app não é o safra empresa ?,PRON SUBS ADV VERB ART SUBS SUBS PON
"por favor não mande mas mensagem no meu zap , cobrando conta de uma mulher por nome maria ,",PREP SUBS ADV VERB CONJ SUBS PREP PRON SUBS PON VERB VERB PREP ART SUBS PREP SUBS SUBS PON
qual carro e valor da diária ?,INT SUBS CONJ SUBS PREP ADJ PON
"outro assunto , por favor",PRON SUBS PON PREP SUBS
tenho o boleto . chegou .,VERB ART SUBS PON VERB PON
o número de minha carteirinha é qual ?,ART SUBS PREP PRON SUBS VERB INT PON
esse contrato tá quitado no seu sistema .,PRON SUBS INT VERB PREP PRON SUBS PON
é porque eu já paguei a antiga vence dia NUMBER eu paguei dia NUMBER,VERB CONJ PRON ADV VERB ART ADJ VERB SUBS NUM PRON VERB SUBS NUM
não tenho o código de barras pra atualização . já tentei,ADV VERB ART SUBS PREP SUBS PREP SUBS PON ADV VERB
eu não vou retira eu vou envia a maquina com defeito,PRON ADV VERB VERB PRON VERB VERB ART SUBS PREP SUBS
vocês tem algum sistema de emissão de boletos ?,PRON VERB PRON SUBS PREP SUBS PREP SUBS PON
qual é o número pra fazer recarga ?,INT VERB ART SUBS PREP VERB SUBS PON
NUMBER horas passando do horário quantos ficaria,NUM SUBS VERB PREP ADJ PRON VERB
você consegue me passar esse relatório pelo whatsapp ?,PRON VERB PRON VERB PRON SUBS PREP SUBS PON
NUMBER - lasanha de berinjela,NUM SIMB SUBS PREP SUBS
qual a previsão de liberação do meu saldo bloqueado ?,INT ART SUBS PREP SUBS PREP PRON SUBS SUBS PON
posso pega o dinheiro no caixa NUMBER hrs,VERB VERB ART SUBS PREP SUBS NUM SUBS
gostaria de informações sobre o pedido de abertura de conta . cpf NUMBER telefone NUMBER EMAIL aguardo retorno,VERB PREP SUBS PREP ART SUBS PREP SUBS PREP VERB PON SUBS NUM SUBS NUM SUBS VERB VERB
meu nome é ricardo medeiros,PRON SUBS VERB SUBS SUBS
há pendência com o hospital ?,VERB SUBS PREP ART SUBS PON
enviei a foto você recebeu ?,VERB ART SUBS PRON VERB PON
porque não pelo aplicativo ?,CONJ ADV PREP SUBS PON
alguém consegue entrar em contato comigo ?,PRON VERB VERB PREP SUBS PRON PON
irei pessoalmente a agência .,VERB ADV ART SUBS PON
as informações do boleto não tão constando,ART SUBS PREP SUBS ADV ADV VERB
mas não está aparecendo pra mim,CONJ ADV VERB VERB PREP PRON
está com algum problema a pag ? ?,VERB PREP PRON SUBS ART SUBS PON PON
tá sim . é pan,INT INT PON VERB SUBS
pode ser amanhã às TIME também,VERB VERB ADV PREP SUBS ADV
não consigo falar no NUMBER da gol . . .,ADV VERB VERB PREP NUM PREP INT PON PON PON
ótimo ! amanhã passarei lá . .,INT PON ADV VERB ADV PON PON
qual o cód e o valor ?,INT ART SUBS CONJ ART SUBS PON
meu extrato foi enviado a você,PRON SUBS VERB VERB ART PRON
mas esse boleto dá baixa ?,CONJ PRON SUBS VERB ADJ PON
o meu é luiz EMAIL,ART PRON VERB SUBS SUBS
não consigo entrar pelo app na minha conta,ADV VERB VERB PREP SUBS PREP PRON VERB
e tenho minha loja também,CONJ VERB PRON SUBS ADV
tirar o meu cpf do comprovante,VERB ART PRON SUBS PREP SUBS
sim mas em qual número,INT CONJ PREP INT SUBS
cpf NUMBER NUMBER PHONE sara rodrigues de souza e-mail EMAIL,SUBS NUM NUM SUBS SUBS SUBS PREP SUBS SUBS SUBS
"não , ela não usa internet",ADV PON PRON ADV VERB SUBS
a máquina tem algum custo,ART SUBS VERB PRON SUBS
eu abri porque me deram uma pj de NUMBER somente,PRON VERB CONJ PRON VERB ART SUBS PREP NUM ADV
olá bom dia sou a agatha .,INT ADJ SUBS VERB ART SUBS PON
e qual o valor do aparelho ?,CONJ INT ART SUBS PREP SUBS PON
porém agora a internet parou,CONJ ADV ART SUBS VERB
"gostaria de pagar a parcela DATE mas , sai sem desconto",VERB PREP VERB ART SUBS SUBS CONJ PON VERB PREP SUBS
sim e aí ? ? ?,INT CONJ ADV PON PON PON
eu fiz agora ficou NUMBER,PRON VERB ADV VERB NUM
gostaria de comprar pelo site e retirar na loja é possível ?,VERB PREP VERB PREP SUBS CONJ SUBS PREP SUBS VERB ADJ PON
somente o NUMBER NUMBER PHONE,ADV ART NUM NUM SUBS
é sobre a parcela do dia DATE,VERB PREP ART SUBS PREP SUBS SUBS
valor contratado do financiamento foi de MEASURE,SUBS VERB PREP SUBS VERB PREP SUBS
bom dia . conta referente ao número NUMBER PHONE já foi paga dia DATE,ADJ SUBS PON VERB ADJ PREP SUBS NUM SUBS ADV VERB VERB SUBS SUBS
posso pagar esse boleto amanha ?,VERB VERB PRON SUBS SUBS PON
"e com esse valor é quitado o débito e feito novas NUMBER parcelas , é isso ?",CONJ PREP PRON SUBS VERB VERB ART SUBS CONJ ADJ ADJ NUM SUBS PON VERB PRON PON
rua constelação cruzeiro do sul NUMBER,INT SUBS SUBS PREP ADJ NUM
qual o preço do exame anexo ?,INT ART SUBS PREP SUBS ADJ PON
ela faz NUMBER em janeiro,PRON VERB NUM PREP SUBS
recebemos a menor . o valor seria NUMBER mil e recebemos NUMBER mil,VERB ART ADJ PON ART SUBS VERB NUM NUM CONJ VERB NUM NUM
"bom dia . por favor ,",ADJ SUBS PON PREP SUBS PON
gostaria do rastreio do meu cartão ? por favor,VERB PREP SUBS PREP PRON SUBS PON PREP SUBS
"recebi uma proposta , mas não me enviaram o boleto",VERB ART SUBS PON CONJ ADV PRON VERB ART SUBS
pedi o número da agência,VERB ART SUBS PREP SUBS
não me falou o procedimento da portabilidade,ADV PRON VERB ART SUBS PREP SUBS
"não , somente ligações e internet",ADV PON ADV SUBS CONJ SUBS
eu não achei o chat pelo computador,PRON ADV VERB ART SUBS PREP SUBS
"fiz uma transferência agora , descontou no saldo , mas não está constando no extrato",VERB ART SUBS ADV PON VERB PREP SUBS PON CONJ ADV VERB VERB PREP SUBS
"o item recebimentos não aceita a resposta , não fica verde",ART SUBS SUBS ADV VERB ART SUBS PON ADV VERB ADJ
não consigo vender pela moderninha,ADV VERB VERB PREP SUBS
"fui a uma agência e consegui resolver , obrigada",VERB ART ART SUBS CONJ VERB VERB PON ADJ
"não há previsão , não é ?",ADV VERB SUBS PON ADV VERB PON
bom dia . informar o pagamento dá conta,ADJ SUBS PON VERB ART SUBS VERB VERB
vocês não recebem documento em pdf ?,PRON ADV VERB SUBS PREP SUBS PON
gostaria de excluir alguns boletos,VERB PREP VERB PRON SUBS
"veio a mercadoria errada , devolvi . devolvi .",VERB ART SUBS ADJ PON VERB PON VERB PON
eu quero a minizinha de NUMBER de NUMBER,PRON VERB ART SUBS PREP NUM PREP NUM
eu tentei um consignado com imóvel,PRON VERB ART SUBS PREP ADJ
quero fazer um cartão e também quero uma cotação !,VERB VERB ART SUBS CONJ ADV VERB ART SUBS PON
"bom dia , não consigo fazer a alteração de senha do meu login",ADJ SUBS PON ADV VERB VERB ART SUBS PREP SUBS PREP PRON SUBS
enviado em NUMBER de agosto,VERB PREP NUM PREP SUBS
pode verificar ? meu cpf é NUMBER,VERB VERB PON PRON SUBS VERB NUM
mas queria incluir um aparelho também,CONJ VERB VERB ART SUBS ADV
poderia conferir esse protocolo pra mim . pelo amor do pai .,VERB VERB PRON SUBS PREP PRON PON PREP SUBS PREP SUBS PON
"não , é uma locação nova",ADV PON VERB ART SUBS ADJ
"estou pegando informações , apresentarei aos responsáveis .",VERB VERB SUBS PON VERB PREP ADJ PON
não deram baixa em seus sistemas ?,ADV VERB ADJ PREP PRON SUBS PON
o tel está carregando em outra sala . . .,ART SUBS VERB VERB PREP PRON SUBS PON PON PON
"pronto , ativei a conta",ADJ PON VERB ART VERB
eu ponho NUMBER aí sai e entra NUMBER,PRON VERB NUM ADV VERB CONJ VERB NUM
vocês precisam agilizar isso . não tenho culpa de vocês estarem cheios de multas,PRON VERB VERB PRON PON ADV VERB SUBS PREP PRON VERB ADJ PREP SUBS
alô tem alguém ai ?,INT VERB PRON INT PON
porque nunca consigo acessar o app ?,CONJ ADV VERB VERB ART SUBS PON
e já passo o prazo,CONJ ADV VERB ART SUBS
inclusive ao adquirir novo aparelho ?,SUBS PREP VERB ADJ SUBS PON
sim adriana de sousa lima cpf NUMBER data nas DATE,INT SUBS PREP SUBS SUBS SUBS NUM SUBS PREP SUBS
"estou desde ontem aguardando ,",VERB PREP ADV VERB PON
eliete araújo da silva gomes,SUBS SUBS PREP SUBS SUBS
você vai mandar o cartão ?,PRON VERB VERB ART SUBS PON
no meu não veio .,PREP PRON ADV VERB PON
"sim , represento a empresa",INT PON VERB ART SUBS
"olá bom dia , queria aderir ao prezão mensal NUMBER",INT ADJ SUBS PON VERB VERB PREP SUBS ADJ NUM
quantas vezes consigo parcelar sem juros ?,PRON SUBS VERB VERB PREP SUBS PON
isso transferir uma das minhas maquininha,PRON VERB ART PREP PRON SUBS
"mas , a conta não está cadastrada no meu cpf ?",CONJ PON ART VERB ADV VERB VERB PREP PRON SUBS PON
pagamento de fatura via cartão de crédito,SUBS PREP SUBS SUBS SUBS PREP SUBS
copia do contrato de financiamento de quitação,VERB PREP SUBS PREP SUBS PREP SUBS
minha máquina não chegou comprei no dia DATE,PRON SUBS ADV VERB VERB PREP SUBS SUBS
"redes sociais , ver e baixar filmes",SUBS ADJ PON VERB CONJ VERB SUBS
tenho empresa no meu nome,VERB SUBS PREP PRON SUBS
pode ver um andamento bmg CPF,VERB VERB ART SUBS SUBS SUBS
pode ser sim . .,VERB VERB INT PON PON
gostaria de atualizar o boleto do mês NUMBER,VERB PREP VERB ART SUBS PREP SUBS NUM
o número do pedido cancelado foi número CODE,ART SUBS PREP SUBS VERB VERB SUBS SUBS
na verdade eu tenho uma dúvida .,PREP SUBS PRON VERB ART SUBS PON
"ola , meu nome é edinei",INT PON PRON SUBS VERB SUBS
aí fica difícil hein !,ADV VERB ADJ INT PON
você consegue desbloquear ? cancelar essa operação,PRON VERB VERB PON VERB PRON SUBS
itaú ag . NUMBER conta NUMBER,SUBS SUBS PON NUM VERB NUM
"bom dia hugo , me chamo israel",ADJ SUBS SUBS PON PRON VERB SUBS
"leonardo , estou verificando , tá ?",SUBS PON VERB VERB PON INT PON
passou a data e o cartão não chegou,VERB ART SUBS CONJ ART SUBS ADV VERB
não você consigo desbloquear meu cartão,ADV PRON VERB VERB PRON SUBS
minha conta foi aberta ? ?,PRON VERB VERB ADJ PON PON
gostaria de alugar um carro por NUMBER dias e sem seguro pois o cartão ele tem seguro !,VERB PREP SUBS ART SUBS PREP NUM SUBS CONJ PREP ADJ CONJ ART SUBS PRON VERB ADJ PON
mas o exame faz ? ?,CONJ ART SUBS VERB PON PON
passei NUMBER na minha máquina e não consta o valor no saldo,VERB NUM PREP PRON SUBS CONJ ADV VERB ART SUBS PREP SUBS
não consegui recuperar minha senha .,ADV VERB VERB PRON SUBS PON
cancelei cartão e o dinheiro não voltou pra conta no valor de NUMBER,VERB SUBS CONJ ART SUBS ADV VERB PREP VERB PREP SUBS PREP NUM
mais qual e o valor,ADV INT CONJ ART SUBS
a equipe poderia me ligar ?,ART SUBS VERB PRON VERB PON
"uma informação , por gentileza !",ART SUBS PON PREP SUBS PON
minha conta está indisponível a NUMBER dias,PRON VERB VERB ADJ ART NUM SUBS
minha proposta final é de NUMBER,PRON SUBS ADJ VERB PREP NUM
não estou pagando NUMBER ?,ADV VERB VERB NUM PON
"venho recebendo algumas ligações , ddd DDD florianópolis . . .",VERB VERB PRON SUBS PON SUBS SUBS SUBS PON PON PON
"inúmeras , disse inúmeras vezes liguei no NUMBER , via chat e ninguém resolve meu problema .",ADJ PON VERB ADJ SUBS VERB PREP NUM PON SUBS SUBS CONJ PRON VERB PRON SUBS PON
minha fatura digital não aparece no aplicativo . e estou recebendo cobranças pelo sms . pode verificar por favor ?,PRON SUBS ADJ ADV VERB PREP SUBS PON CONJ VERB VERB SUBS PREP SUBS PON VERB VERB PREP SUBS PON
queria por mês NUMBER agendamento maio,VERB PREP SUBS NUM SUBS SUBS
já tentei pedir a senha é não veio .,ADV VERB VERB ART SUBS VERB ADV VERB PON
você não conseguiu acessar ?,PRON ADV VERB VERB PON
por gentileza tem algum protocolo ?,PREP SUBS VERB PRON SUBS PON
boleto bancario já pago em NUMBER de abril,SUBS ADJ ADV VERB PREP NUM PREP SUBS
mais eu não recebi a comissão porque eu avisei a vocês,ADV PRON ADV VERB ART SUBS CONJ PRON VERB ART PRON
mas eu consigo trocar ?,CONJ PRON VERB VERB PON
não estou conseguindo ativar a promoção de NUMBER por mês,ADV VERB VERB VERB ART SUBS PREP NUM PREP SUBS
agência NUMBER NUMBER NUMBER NUMBER,SUBS NUM NUM NUM NUM
"tenho NUMBER , consigo pagar essa proposta",VERB NUM PON VERB VERB PRON SUBS
mas o cartão não chegou,CONJ ART SUBS ADV VERB
bom dia o convênio . está ativo,ADJ SUBS ART SUBS PON VERB ADJ
hoje já recebi mais está contestação,ADV ADV VERB ADV VERB SUBS
pra receber NUMBER em reembolso,PREP VERB NUM PREP SUBS
gostaria de fazer o cartão crédito,VERB PREP VERB ART SUBS SUBS
"paloma , marca TIME , por favor",SUBS PON VERB SUBS PON PREP SUBS
cpf NUMBER NUMBER NUMBER NUMBER numero do cliente NUMBER,SUBS NUM NUM NUM NUM SUBS PREP SUBS NUM
ele respondeu dia DATE TIME,PRON VERB SUBS SUBS SUBS
faço isso agora ja ?,VERB PRON ADV ADV PON
"olá , estou pesquisando outras opções",INT PON VERB VERB PRON SUBS
aprovamos um valor de NUMBER,VERB ART SUBS PREP NUM
posso mandar a foto da carteirinha do convênio ?,VERB VERB ART SUBS PREP SUBS PREP SUBS PON
gostaria de verificar a portabilidade,VERB PREP VERB ART SUBS
"prezão NUMBER por , es",SUBS NUM PREP PON VERB
cancelar pedido PHONE e estorno,VERB SUBS SUBS CONJ SUBS
"eu quero fazer um combo de internet , tv e telefone",PRON VERB VERB ART SUBS PREP SUBS PON SUBS CONJ SUBS
"ver esse cpf , CPF pan cartão",VERB PRON SUBS PON SUBS SUBS SUBS
apertei . nao sai da tela inicial,VERB PON ADV VERB PREP SUBS ADJ
"portabilidade também , número é NUMBER NUMBER PHONE",SUBS ADV PON SUBS VERB NUM NUM SUBS
e apenas NUMBER livro foi entregue,CONJ ADV NUM SUBS VERB VERB
transferir o valor pra minha conta,VERB ART SUBS PREP PRON VERB
por hoje em dinheiro tenho CODE,PREP ADV PREP SUBS VERB SUBS
mais queria pegar um iphone,ADV VERB VERB ART SUBS
pagseguro vai mandar um novo chip,SUBS VERB VERB ART ADJ SUBS
gostaria de confirmar o exame dia DATE as NUMBER da manhã ? ?,VERB PREP SUBS ART SUBS SUBS SUBS ART NUM PREP SUBS PON PON
"bom dia , a parcela da minha cliente está pendente",ADJ SUBS PON ART SUBS PREP PRON SUBS VERB ADJ
não há atendimento no momento ?,ADV VERB SUBS PREP SUBS PON
bom dia vou fazer o pagamento hoje .,ADJ SUBS VERB VERB ART SUBS ADV PON
pessoa juridica e pessoa física pode ter acesso ao produto ?,SUBS ADJ CONJ SUBS ADJ VERB VERB VERB PREP SUBS PON
é cobrado alguma taxa ao cancelar,VERB VERB PRON SUBS PREP VERB
dia de hoje algum atendente trabalha ?,SUBS PREP ADV PRON SUBS VERB PON
não consigo resolver pelo PHONE,ADV VERB VERB PREP SUBS
"eu coloquei NUMBER no início , troquei o NUMBER pelo NUMBER",PRON VERB NUM PREP SUBS PON VERB ART NUM PREP NUM
"nao , já tenho anotado !",ADV PON ADV VERB ADJ PON
é sobre . o o reembolso do meu pedido,VERB PREP PON ART ART SUBS PREP PRON SUBS
"bom dia , com a renata",ADJ SUBS PON PREP ART SUBS
a ultima transação foi feita dia DATE,ART VERB SUBS VERB ADJ SUBS SUBS
está está está no nome da minha esposa,VERB VERB VERB PREP SUBS PREP PRON SUBS
qual é o valor da taxa de retorno ?,INT VERB ART SUBS PREP SUBS PREP VERB PON
o boleto e pago a vista,ART SUBS CONJ VERB ART SUBS
e o exame de sangue ?,CONJ ART SUBS PREP SUBS PON
não recebi a senha com . numero,ADV VERB ART SUBS PREP PON SUBS
ah tá . foto eu consigo . tenho também o número do protocolo,INT INT PON SUBS PRON VERB PON VERB ADV ART SUBS PREP SUBS
cnpj da loja NUMBER cpf do cliente NUMBER,SUBS PREP SUBS NUM SUBS PREP SUBS NUM
poderia habilitar isso no meu pedido ?,VERB VERB PRON PREP PRON SUBS PON
meu nome é adriele simões castilho,PRON SUBS VERB SUBS SUBS SUBS
mais opções pra fala sobre a minizinha NUMBER chip,ADV SUBS PREP VERB PREP ART SUBS NUM SUBS
você sabe informar a taxa ?,PRON VERB VERB ART SUBS PON
estou falando com você do EMAIL,VERB VERB PREP PRON PREP SUBS
ai chegou a fatura e eu paguei no dia NUMBER,INT VERB ART SUBS CONJ PRON VERB PREP SUBS NUM
sim mas NUMBER não chegou,INT CONJ NUM ADV VERB
tenho já a conta bancária,VERB ADV ART VERB ADJ
cesar nunes de carvalho cpf NUMBER,SUBS SUBS PREP SUBS SUBS NUM
o número da transação não autorizada CODE,ART SUBS PREP SUBS ADV ADJ SUBS
"mas vanessa , voltando ao assunto do bloqueio",CONJ SUBS PON VERB PREP SUBS PREP SUBS
devolver o veículo . quitar o débito,VERB ART SUBS PON VERB ART SUBS
"sou motorista de aplicativo , uber",VERB SUBS PREP SUBS PON SUBS
foi a data do pagamento .,VERB ART SUBS PREP SUBS PON
eu já agendado no laboratório dia DATE,PRON ADV VERB PREP SUBS SUBS SUBS
eu removi e ficou verde,PRON VERB CONJ VERB ADJ
porém o vencimento da parcela é dia NUMBER de novembro,CONJ ART SUBS PREP SUBS VERB SUBS NUM PREP SUBS
mas da pra resolver pelo site ?,CONJ PREP PREP VERB PREP SUBS PON
paulo marcos rosa de oliveira,SUBS SUBS ADJ PREP SUBS
bom dia mariana . irei retirar em confins no dia DATE as TIME e devolver no dia DATE,ADJ SUBS SUBS PON VERB SUBS PREP SUBS PREP SUBS SUBS ART SUBS CONJ VERB PREP SUBS SUBS
bom dia . gostaria de falar com a ouvidoria .,ADJ SUBS PON VERB PREP VERB PREP ART SUBS PON
vocês vendem roteador com chip ?,PRON VERB SUBS PREP SUBS PON
favor anexar o vídeo no protocolo NUMBER . estarei a disposicao .,SUBS VERB ART SUBS PREP SUBS NUM PON VERB ART SUBS PON
vocês vendem aparador de grama elétrico ?,PRON VERB SUBS PREP SUBS ADJ PON
mas estou tentando emitir e tá lá cobrando NUMBER,CONJ VERB VERB VERB CONJ INT ADV VERB NUM
"desculpa , precisei atender clientes",INT PON VERB VERB SUBS
não sei qual eu cadastrei,ADV VERB INT PRON VERB
